experiment_name,qa_model,strategy,require_citations,train_num_examples,train_retrieval_hit_rate,train_citation_hit_rate,train_answerable_success_rate,train_judge_accuracy,train_parse_success_rate,run_dir,timestamp,retriever_backend,retriever_model,k,max_tokens,limit,train_answerable_fp_rate,train_answerable_fn_rate
gpt3.5_single_citation,gpt-3.5-turbo,single,True,400,0.8125,0.715,0.4825,0.39,1.0,artifacts/runs/run_20251205_195228_gpt3.5_single_citation,2025-12-05T19:53:17.993535,openai,text-embedding-3-large,5,256,400,0.5175,0.0
gpt3.5_single_no_citation,gpt-3.5-turbo,single,False,400,0.8125,,0.5775,0.4925,1.0,artifacts/runs/run_20251205_195318_gpt3.5_single_no_citation,2025-12-05T19:53:48.623984,openai,text-embedding-3-large,5,256,400,0.41,0.0125
gpt3.5_two_pass_citation,gpt-3.5-turbo,two_pass,True,400,0.8125,0.7175,0.4475,0.3475,0.9825,artifacts/runs/run_20251205_195348_gpt3.5_two_pass_citation,2025-12-05T19:54:39.316300,openai,text-embedding-3-large,5,256,400,0.5525,0.0
gpt3.5_two_pass_no_citation,gpt-3.5-turbo,two_pass,False,400,0.8125,,0.6,0.51,1.0,artifacts/runs/run_20251205_195439_gpt3.5_two_pass_no_citation,2025-12-05T19:55:26.277672,openai,text-embedding-3-large,5,256,400,0.38,0.02
gpt4o_mini_single_citation,gpt-4o-mini,single,True,400,0.8125,0.625,0.665,0.6025,1.0,artifacts/runs/run_20251205_195526_gpt4o_mini_single_citation,2025-12-05T19:55:57.273978,openai,text-embedding-3-large,5,256,400,0.325,0.01
gpt4o_mini_single_no_citation,gpt-4o-mini,single,False,400,0.8125,,0.685,0.6125,1.0,artifacts/runs/run_20251205_195557_gpt4o_mini_single_no_citation,2025-12-05T19:56:27.689702,openai,text-embedding-3-large,5,256,400,0.295,0.02
gpt4o_mini_two_pass_citation,gpt-4o-mini,two_pass,True,400,0.8125,0.6475,0.63,0.58,1.0,artifacts/runs/run_20251205_195627_gpt4o_mini_two_pass_citation,2025-12-05T19:57:13.374885,openai,text-embedding-3-large,5,256,400,0.355,0.015
gpt4o_mini_two_pass_no_citation,gpt-4o-mini,two_pass,False,400,0.8125,,0.765,0.71,1.0,artifacts/runs/run_20251205_195713_gpt4o_mini_two_pass_no_citation,2025-12-05T19:57:54.392369,openai,text-embedding-3-large,5,256,400,0.18,0.055
gpt4o_single_citation,gpt-4o,single,True,400,0.8125,0.585,0.7,0.67,1.0,artifacts/runs/run_20251205_195754_gpt4o_single_citation,2025-12-05T19:58:24.995616,openai,text-embedding-3-large,5,256,400,0.2875,0.0125
gpt4o_single_no_citation,gpt-4o,single,False,400,0.8125,,0.7525,0.73,1.0,artifacts/runs/run_20251205_195825_gpt4o_single_no_citation,2025-12-05T19:58:55.513307,openai,text-embedding-3-large,5,256,400,0.2325,0.015
gpt4o_two_pass_citation,gpt-4o,two_pass,True,400,0.8125,0.665,0.61,0.58,1.0,artifacts/runs/run_20251205_195855_gpt4o_two_pass_citation,2025-12-05T19:59:43.070285,openai,text-embedding-3-large,5,256,400,0.39,0.0
gpt4o_two_pass_no_citation,gpt-4o,two_pass,False,400,0.8125,,0.7925,0.765,1.0,artifacts/runs/run_20251205_195943_gpt4o_two_pass_no_citation,2025-12-05T20:00:24.784488,openai,text-embedding-3-large,5,256,400,0.1725,0.035
gpt4.1_nano_single_citation,gpt-4.1-nano,single,True,400,0.8125,0.61,0.645,0.5625,0.9975,artifacts/runs/run_20251205_200024_gpt4.1_nano_single_citation,2025-12-05T20:00:55.022422,openai,text-embedding-3-large,5,256,400,0.3325,0.0225
gpt4.1_nano_single_no_citation,gpt-4.1-nano,single,False,400,0.8125,,0.6625,0.5725,0.995,artifacts/runs/run_20251205_200055_gpt4.1_nano_single_no_citation,2025-12-05T20:01:25.127428,openai,text-embedding-3-large,5,256,400,0.285,0.0525
gpt4.1_nano_two_pass_citation,gpt-4.1-nano,two_pass,True,400,0.8125,0.595,0.58,0.49,0.99,artifacts/runs/run_20251205_200125_gpt4.1_nano_two_pass_citation,2025-12-05T20:02:12.890705,openai,text-embedding-3-large,5,256,400,0.3875,0.0325
gpt4.1_nano_two_pass_no_citation,gpt-4.1-nano,two_pass,False,400,0.8125,,0.6925,0.6125,1.0,artifacts/runs/run_20251205_200212_gpt4.1_nano_two_pass_no_citation,2025-12-05T20:02:55.664997,openai,text-embedding-3-large,5,256,400,0.245,0.0625
gpt4.1_mini_single_citation,gpt-4.1-mini,single,True,400,0.8125,0.715,0.56,0.55,1.0,artifacts/runs/run_20251205_200255_gpt4.1_mini_single_citation,2025-12-05T20:03:26.874606,openai,text-embedding-3-large,5,256,400,0.4375,0.0025
gpt4.1_mini_single_no_citation,gpt-4.1-mini,single,False,400,0.8125,,0.625,0.615,1.0,artifacts/runs/run_20251205_200326_gpt4.1_mini_single_no_citation,2025-12-05T20:03:58.043109,openai,text-embedding-3-large,5,256,400,0.37,0.005
gpt4.1_mini_two_pass_citation,gpt-4.1-mini,two_pass,True,400,0.8125,0.695,0.5725,0.545,1.0,artifacts/runs/run_20251205_200358_gpt4.1_mini_two_pass_citation,2025-12-05T20:04:45.276611,openai,text-embedding-3-large,5,256,400,0.425,0.0025
gpt4.1_mini_two_pass_no_citation,gpt-4.1-mini,two_pass,False,400,0.8125,,0.6875,0.6625,1.0,artifacts/runs/run_20251205_200445_gpt4.1_mini_two_pass_no_citation,2025-12-05T20:05:30.284441,openai,text-embedding-3-large,5,256,400,0.3,0.0125
gpt4.1_single_citation,gpt-4.1,single,True,400,0.8125,0.625,0.68,0.665,1.0,artifacts/runs/run_20251205_200530_gpt4.1_single_citation,2025-12-05T20:05:59.393893,openai,text-embedding-3-large,5,256,400,0.315,0.005
gpt4.1_single_no_citation,gpt-4.1,single,False,400,0.8125,,0.725,0.715,1.0,artifacts/runs/run_20251205_200559_gpt4.1_single_no_citation,2025-12-05T20:06:13.530478,openai,text-embedding-3-large,5,256,400,0.2575,0.0175
gpt4.1_two_pass_citation,gpt-4.1,two_pass,True,400,0.8125,0.6675,0.6075,0.5925,1.0,artifacts/runs/run_20251205_200613_gpt4.1_two_pass_citation,2025-12-05T20:06:35.907994,openai,text-embedding-3-large,5,256,400,0.39,0.0025
gpt4.1_two_pass_no_citation,gpt-4.1,two_pass,False,400,0.8125,,0.7725,0.76,1.0,artifacts/runs/run_20251205_200635_gpt4.1_two_pass_no_citation,2025-12-05T20:07:00.750628,openai,text-embedding-3-large,5,256,400,0.2075,0.02
gpt5_single_citation,gpt-5-chat-latest,single,True,400,0.8125,0.65,0.6425,0.635,1.0,artifacts/runs/run_20251205_200700_gpt5_single_citation,2025-12-05T20:07:32.480547,openai,text-embedding-3-large,5,256,400,0.3575,0.0
gpt5_single_no_citation,gpt-5-chat-latest,single,False,400,0.8125,,0.665,0.66,1.0,artifacts/runs/run_20251205_200732_gpt5_single_no_citation,2025-12-05T20:08:03.843116,openai,text-embedding-3-large,5,256,400,0.3325,0.0025
gpt5_two_pass_citation,gpt-5-chat-latest,two_pass,True,400,0.8125,0.715,0.535,0.5275,1.0,artifacts/runs/run_20251205_200803_gpt5_two_pass_citation,2025-12-05T20:08:52.895952,openai,text-embedding-3-large,5,256,400,0.4625,0.0025
gpt5_two_pass_no_citation,gpt-5-chat-latest,two_pass,False,400,0.8125,,0.69,0.6775,1.0,artifacts/runs/run_20251205_200852_gpt5_two_pass_no_citation,2025-12-05T20:09:38.573770,openai,text-embedding-3-large,5,256,400,0.3025,0.0075
